Date;Location;SKU;Quantity
02/01/2025;ZAQC;1994330;520
31/01/2025;ERTY;1994330;180
30/01/2025;ERTY;1994330;20
29/01/2025;ERTY;1994330;200
28/01/2025;ERTY;1994330;80
27/01/2025;ERTY;1994330;200
24/01/2025;ERTY;1994330;320
22/01/2025;ERTY;1994330;100
21/01/2025;ERTY;1994330;180
17/01/2025;ERTY;1994330;320
16/01/2025;ERTY;1994330;200
15/01/2025;ERTY;1994330;280
14/01/2025;ERTY;1994330;240
13/01/2025;ERTY;1994330;20
10/01/2025;ERTY;1994330;100
09/01/2025;ERTY;1994330;60
08/01/2025;ERTY;1994330;860
07/01/2025;ERTY;1994330;520
06/01/2025;ERTY;1994330;200
03/01/2025;ERTY;1994330;200
03/01/2025;ERTY;1994330;800
02/01/2025;ERTY;1994330;480
31/01/2025;GHTS;1994330;1620
30/01/2025;GHTS;1994330;1800
29/01/2025;GHTS;1994330;2220
28/01/2025;GHTS;1994330;1780
27/01/2025;GHTS;1994330;500
24/01/2025;GHTS;1994330;720
23/01/2025;GHTS;1994330;820
22/01/2025;GHTS;1994330;1000
21/01/2025;GHTS;1994330;1520
20/01/2025;GHTS;1994330;1120
17/01/2025;GHTS;1994330;1580
16/01/2025;GHTS;1994330;1340
15/01/2025;GHTS;1994330;1680
14/01/2025;GHTS;1994330;1700
13/01/2025;GHTS;1994330;820
10/01/2025;GHTS;1994330;2120
09/01/2025;GHTS;1994330;820
08/01/2025;GHTS;1994330;900
08/01/2025;GHTS;1994330;300
07/01/2025;GHTS;1994330;1540
06/01/2025;GHTS;1994330;1080
03/01/2025;GHTS;1994330;1320
02/01/2025;GHTS;1994330;920
31/01/2025;SWAQ;1994330;160
30/01/2025;SWAQ;1994330;180
29/01/2025;SWAQ;1994330;300
28/01/2025;SWAQ;1994330;200
27/01/2025;SWAQ;1994330;200
24/01/2025;SWAQ;1994330;1800
23/01/2025;SWAQ;1994330;660
22/01/2025;SWAQ;1994330;1340
21/01/2025;SWAQ;1994330;180
20/01/2025;SWAQ;1994330;80
17/01/2025;SWAQ;1994330;280
16/01/2025;SWAQ;1994330;160
15/01/2025;SWAQ;1994330;580
15/01/2025;SWAQ;1994330;120
14/01/2025;SWAQ;1994330;420
13/01/2025;SWAQ;1994330;60
10/01/2025;SWAQ;1994330;1120
09/01/2025;SWAQ;1994330;200
08/01/2025;SWAQ;1994330;160
07/01/2025;SWAQ;1994330;220
06/01/2025;SWAQ;1994330;80
03/01/2025;SWAQ;1994330;500
02/01/2025;SWAQ;1994330;160
31/01/2025;ZXCV;1994330;600
31/01/2025;ZXCV;1994330;440
30/01/2025;ZXCV;1994330;480
29/01/2025;ZXCV;1994330;1260
28/01/2025;ZXCV;1994330;500
27/01/2025;ZXCV;1994330;880
24/01/2025;ZXCV;1994330;940
24/01/2025;ZXCV;1994330;200
23/01/2025;ZXCV;1994330;960
22/01/2025;ZXCV;1994330;1200
21/01/2025;ZXCV;1994330;720
20/01/2025;ZXCV;1994330;40
18/01/2025;ZXCV;1994330;2600
17/01/2025;ZXCV;1994330;120
16/01/2025;ZXCV;1994330;1520
15/01/2025;ZXCV;1994330;1780
15/01/2025;ZXCV;1994330;200
14/01/2025;ZXCV;1994330;1020
13/01/2025;ZXCV;1994330;420
10/01/2025;ZXCV;1994330;1360
09/01/2025;ZXCV;1994330;900
09/01/2025;ZXCV;1994330;200
08/01/2025;ZXCV;1994330;860
07/01/2025;ZXCV;1994330;1180
06/01/2025;ZXCV;1994330;100
03/01/2025;ZXCV;1994330;820
03/01/2025;ZXCV;1994330;100
02/01/2025;ZXCV;1994330;720
31/01/2025;OLPU;1994330;200
30/01/2025;OLPU;1994330;140
29/01/2025;OLPU;1994330;520
28/01/2025;OLPU;1994330;240
27/01/2025;OLPU;1994330;500
24/01/2025;OLPU;1994330;120
23/01/2025;OLPU;1994330;320
22/01/2025;OLPU;1994330;360
21/01/2025;OLPU;1994330;180
17/01/2025;OLPU;1994330;680
16/01/2025;OLPU;1994330;100
15/01/2025;OLPU;1994330;320
14/01/2025;OLPU;1994330;180
13/01/2025;OLPU;1994330;120
10/01/2025;OLPU;1994330;720
09/01/2025;OLPU;1994330;1040
08/01/2025;OLPU;1994330;960
07/01/2025;OLPU;1994330;380
03/01/2025;OLPU;1994330;260
02/01/2025;OLPU;1994330;340
31/01/2025;QAZX;1994330;140
30/01/2025;QAZX;1994330;120
30/01/2025;QAZX;1994330;960
29/01/2025;QAZX;1994330;2220
28/01/2025;QAZX;1994330;620
27/01/2025;QAZX;1994330;160
27/01/2025;QAZX;1994330;480
24/01/2025;QAZX;1994330;460
23/01/2025;QAZX;1994330;340
22/01/2025;QAZX;1994330;340
21/01/2025;QAZX;1994330;240
21/01/2025;QAZX;1994330;1060
20/01/2025;QAZX;1994330;160
20/01/2025;QAZX;1994330;100
17/01/2025;QAZX;1994330;100
17/01/2025;QAZX;1994330;700
16/01/2025;QAZX;1994330;60
15/01/2025;QAZX;1994330;180
15/01/2025;QAZX;1994330;580
14/01/2025;QAZX;1994330;120
14/01/2025;QAZX;1994330;480
13/01/2025;QAZX;1994330;200
13/01/2025;QAZX;1994330;580
10/01/2025;QAZX;1994330;880
09/01/2025;QAZX;1994330;820
08/01/2025;QAZX;1994330;620
08/01/2025;QAZX;1994330;100
07/01/2025;QAZX;1994330;3520
07/01/2025;QAZX;1994330;220
06/01/2025;QAZX;1994330;580
06/01/2025;QAZX;1994330;100
03/01/2025;QAZX;1994330;160
03/01/2025;QAZX;1994330;1000
02/01/2025;QAZX;1994330;20
31/01/2025;FTGV;1994330;1060
30/01/2025;FTGV;1994330;400
29/01/2025;FTGV;1994330;820
28/01/2025;FTGV;1994330;380
27/01/2025;FTGV;1994330;900
24/01/2025;FTGV;1994330;1300
23/01/2025;FTGV;1994330;340
22/01/2025;FTGV;1994330;560
21/01/2025;FTGV;1994330;100
18/01/2025;FTGV;1994330;1140
16/01/2025;FTGV;1994330;6120
15/01/2025;FTGV;1994330;4000
14/01/2025;FTGV;1994330;460
13/01/2025;FTGV;1994330;100
13/01/2025;FTGV;1994330;100
10/01/2025;FTGV;1994330;3060
09/01/2025;FTGV;1994330;1400
08/01/2025;FTGV;1994330;780
07/01/2025;FTGV;1994330;820
06/01/2025;FTGV;1994330;300
03/01/2025;FTGV;1994330;640
02/01/2025;FTGV;1994330;300
31/01/2025;BVCX;1994330;40
30/01/2025;BVCX;1994330;100
29/01/2025;BVCX;1994330;40
27/01/2025;BVCX;1994330;100
24/01/2025;BVCX;1994330;360
23/01/2025;BVCX;1994330;20
22/01/2025;BVCX;1994330;40
21/01/2025;BVCX;1994330;140
17/01/2025;BVCX;1994330;220
17/01/2025;BVCX;1994330;200
16/01/2025;BVCX;1994330;500
14/01/2025;BVCX;1994330;340
13/01/2025;BVCX;1994330;40
10/01/2025;BVCX;1994330;40
09/01/2025;BVCX;1994330;80
08/01/2025;BVCX;1994330;80
07/01/2025;BVCX;1994330;480
07/01/2025;BVCX;1994330;120
06/01/2025;BVCX;1994330;220
03/01/2025;BVCX;1994330;100
02/01/2025;BVCX;1994330;480
02/01/2025;BVCX;1994330;200
29/01/2025;MNBH;1994330;40
24/01/2025;MNBH;1994330;20
23/01/2025;MNBH;1994330;80
22/01/2025;MNBH;1994330;140
21/01/2025;MNBH;1994330;140
16/01/2025;MNBH;1994330;200
14/01/2025;MNBH;1994330;160
10/01/2025;MNBH;1994330;20
09/01/2025;MNBH;1994330;440
07/01/2025;MNBH;1994330;20
06/01/2025;MNBH;1994330;120
02/01/2025;MNBH;1994330;220
31/01/2025;FGHT;1994330;20
30/01/2025;FGHT;1994330;60
29/01/2025;FGHT;1994330;80
28/01/2025;FGHT;1994330;80
27/01/2025;FGHT;1994330;480
24/01/2025;FGHT;1994330;80
23/01/2025;FGHT;1994330;40
22/01/2025;FGHT;1994330;40
21/01/2025;FGHT;1994330;40
18/01/2025;FGHT;1994330;60
16/01/2025;FGHT;1994330;140
15/01/2025;FGHT;1994330;180
14/01/2025;FGHT;1994330;240
10/01/2025;FGHT;1994330;100
09/01/2025;FGHT;1994330;40
08/01/2025;FGHT;1994330;160
07/01/2025;FGHT;1994330;60
06/01/2025;FGHT;1994330;40
03/01/2025;FGHT;1994330;240
02/01/2025;FGHT;1994330;160
31/01/2025;UIOK;1994330;200
29/01/2025;UIOK;1994330;220
28/01/2025;UIOK;1994330;20
27/01/2025;UIOK;1994330;220
24/01/2025;UIOK;1994330;280
22/01/2025;UIOK;1994330;160
22/01/2025;UIOK;1994330;100
21/01/2025;UIOK;1994330;180
21/01/2025;UIOK;1994330;200
18/01/2025;UIOK;1994330;160
17/01/2025;UIOK;1994330;120
16/01/2025;UIOK;1994330;360
15/01/2025;UIOK;1994330;360
14/01/2025;UIOK;1994330;160
13/01/2025;UIOK;1994330;140
10/01/2025;UIOK;1994330;280
09/01/2025;UIOK;1994330;200
09/01/2025;UIOK;1994330;400
08/01/2025;UIOK;1994330;160
07/01/2025;UIOK;1994330;600
07/01/2025;UIOK;1994330;160
06/01/2025;UIOK;1994330;880
03/01/2025;UIOK;1994330;80
02/01/2025;UIOK;1994330;200
02/01/2025;QWES;1994330;160
31/01/2025;JMIK;1994330;440
30/01/2025;JMIK;1994330;360
29/01/2025;JMIK;1994330;580
28/01/2025;JMIK;1994330;280
27/01/2025;JMIK;1994330;440
24/01/2025;JMIK;1994330;680
23/01/2025;JMIK;1994330;500
22/01/2025;JMIK;1994330;600
21/01/2025;JMIK;1994330;660
20/01/2025;JMIK;1994330;840
17/01/2025;JMIK;1994330;940
16/01/2025;JMIK;1994330;900
15/01/2025;JMIK;1994330;1380
14/01/2025;JMIK;1994330;2500
13/01/2025;JMIK;1994330;540
11/01/2025;JMIK;1994330;40
10/01/2025;JMIK;1994330;1120
10/01/2025;JMIK;1994330;400
09/01/2025;JMIK;1994330;1620
08/01/2025;JMIK;1994330;1900
07/01/2025;JMIK;1994330;1580
06/01/2025;JMIK;1994330;660
03/01/2025;JMIK;1994330;1280
02/01/2025;JMIK;1994330;540
31/01/2025;YHNU;1994330;1020
30/01/2025;YHNU;1994330;1460
29/01/2025;YHNU;1994330;2420
28/01/2025;YHNU;1994330;2760
27/01/2025;YHNU;1994330;820
25/01/2025;YHNU;1994330;300
24/01/2025;YHNU;1994330;1680
23/01/2025;YHNU;1994330;1640
22/01/2025;YHNU;1994330;1460
22/01/2025;YHNU;1994330;100
21/01/2025;YHNU;1994330;1360
18/01/2025;YHNU;1994330;1420
17/01/2025;YHNU;1994330;60
16/01/2025;YHNU;1994330;5020
15/01/2025;YHNU;1994330;2060
14/01/2025;YHNU;1994330;2940
13/01/2025;YHNU;1994330;140
10/01/2025;YHNU;1994330;3200
09/01/2025;YHNU;1994330;1900
08/01/2025;YHNU;1994330;2940
07/01/2025;YHNU;1994330;2980
04/01/2025;YHNU;1994330;1300
03/01/2025;YHNU;1994330;3680
02/01/2025;YHNU;1994330;1300
01/01/2025;YHNU;1994330;200
31/01/2025;EDCR;1994330;360
31/01/2025;EDCR;1994330;480
30/01/2025;EDCR;1994330;480
30/01/2025;EDCR;1994330;1200
29/01/2025;EDCR;1994330;500
28/01/2025;EDCR;1994330;340
27/01/2025;EDCR;1994330;1380
27/01/2025;EDCR;1994330;480
24/01/2025;EDCR;1994330;1160
24/01/2025;EDCR;1994330;1460
23/01/2025;EDCR;1994330;1320
22/01/2025;EDCR;1994330;1380
22/01/2025;EDCR;1994330;120
21/01/2025;EDCR;1994330;440
20/01/2025;EDCR;1994330;120
20/01/2025;EDCR;1994330;600
18/01/2025;EDCR;1994330;280
17/01/2025;EDCR;1994330;3220
17/01/2025;EDCR;1994330;960
16/01/2025;EDCR;1994330;2560
16/01/2025;EDCR;1994330;1120
15/01/2025;EDCR;1994330;2360
15/01/2025;EDCR;1994330;2520
14/01/2025;EDCR;1994330;540
14/01/2025;EDCR;1994330;2860
13/01/2025;EDCR;1994330;3140
13/01/2025;EDCR;1994330;640
10/01/2025;EDCR;1994330;1700
10/01/2025;EDCR;1994330;540
09/01/2025;EDCR;1994330;2740
09/01/2025;EDCR;1994330;2140
08/01/2025;EDCR;1994330;1960
08/01/2025;EDCR;1994330;2320
07/01/2025;EDCR;1994330;1420
07/01/2025;EDCR;1994330;6180
06/01/2025;EDCR;1994330;3780
03/01/2025;EDCR;1994330;2340
03/01/2025;EDCR;1994330;960
02/01/2025;EDCR;1994330;440
31/01/2025;HJKL;1994330;420
30/01/2025;HJKL;1994330;3260
29/01/2025;HJKL;1994330;280
28/01/2025;HJKL;1994330;120
27/01/2025;HJKL;1994330;420
24/01/2025;HJKL;1994330;600
23/01/2025;HJKL;1994330;500
22/01/2025;HJKL;1994330;140
21/01/2025;HJKL;1994330;420
21/01/2025;HJKL;1994330;80
18/01/2025;HJKL;1994330;140
16/01/2025;HJKL;1994330;300
15/01/2025;HJKL;1994330;160
14/01/2025;HJKL;1994330;680
14/01/2025;HJKL;1994330;480
13/01/2025;HJKL;1994330;380
10/01/2025;HJKL;1994330;220
09/01/2025;HJKL;1994330;460
09/01/2025;HJKL;1994330;400
08/01/2025;HJKL;1994330;560
07/01/2025;HJKL;1994330;140
03/01/2025;HJKL;1994330;280
02/01/2025;HJKL;1994330;220
31/01/2025;KJPL;1994330;60
30/01/2025;KJPL;1994330;140
29/01/2025;KJPL;1994330;400
28/01/2025;KJPL;1994330;180
27/01/2025;KJPL;1994330;1320
24/01/2025;KJPL;1994330;980
23/01/2025;KJPL;1994330;1020
22/01/2025;KJPL;1994330;1080
21/01/2025;KJPL;1994330;980
20/01/2025;KJPL;1994330;500
18/01/2025;KJPL;1994330;820
17/01/2025;KJPL;1994330;20
16/01/2025;KJPL;1994330;920
15/01/2025;KJPL;1994330;5400
14/01/2025;KJPL;1994330;1080
13/01/2025;KJPL;1994330;200
10/01/2025;KJPL;1994330;1180
09/01/2025;KJPL;1994330;2200
08/01/2025;KJPL;1994330;60
07/01/2025;KJPL;1994330;380
06/01/2025;KJPL;1994330;1540
03/01/2025;KJPL;1994330;1820
02/01/2025;KJPL;1994330;320
31/01/2025;GHJK;1994330;120
30/01/2025;GHJK;1994330;60
29/01/2025;GHJK;1994330;340
28/01/2025;GHJK;1994330;80
27/01/2025;GHJK;1994330;180
24/01/2025;GHJK;1994330;20
23/01/2025;GHJK;1994330;440
22/01/2025;GHJK;1994330;240
21/01/2025;GHJK;1994330;120
18/01/2025;GHJK;1994330;120
17/01/2025;GHJK;1994330;80
16/01/2025;GHJK;1994330;340
15/01/2025;GHJK;1994330;20
14/01/2025;GHJK;1994330;80
13/01/2025;GHJK;1994330;20
10/01/2025;GHJK;1994330;100
10/01/2025;GHJK;1994330;380
09/01/2025;GHJK;1994330;820
07/01/2025;GHJK;1994330;320
06/01/2025;GHJK;1994330;120
03/01/2025;GHJK;1994330;380
02/01/2025;GHJK;1994330;120
28/01/2025;MNBY;1994330;40
23/01/2025;MNBY;1994330;120
22/01/2025;MNBY;1994330;600
16/01/2025;MNBY;1994330;80
15/01/2025;MNBY;1994330;40
10/01/2025;MNBY;1994330;200
08/01/2025;MNBY;1994330;120
07/01/2025;MNBY;1994330;420
06/01/2025;MNBY;1994330;340
02/01/2025;MNBY;1994330;140
31/01/2025;ASDF;1599107;70
30/01/2025;ASDF;1599107;60
30/01/2025;ASDF;1599107;100
29/01/2025;ASDF;1599107;10
28/01/2025;ASDF;1599107;20
27/01/2025;ASDF;1599107;70
24/01/2025;ASDF;1599107;130
24/01/2025;ASDF;1599107;20
23/01/2025;ASDF;1599107;120
23/01/2025;ASDF;1599107;10
22/01/2025;ASDF;1599107;40
21/01/2025;ASDF;1599107;20
16/01/2025;ASDF;1599107;100
16/01/2025;ASDF;1599107;100
15/01/2025;ASDF;1599107;200
15/01/2025;ASDF;1599107;10
14/01/2025;ASDF;1599107;110
13/01/2025;ASDF;1599107;40
11/01/2025;ASDF;1599107;10
10/01/2025;ASDF;1599107;150
10/01/2025;ASDF;1599107;130
09/01/2025;ASDF;1599107;190
08/01/2025;ASDF;1599107;50
07/01/2025;ASDF;1599107;160
07/01/2025;ASDF;1599107;80
06/01/2025;ASDF;1599107;100
04/01/2025;ASDF;1599107;20
03/01/2025;ASDF;1599107;40
03/01/2025;ASDF;1599107;20
02/01/2025;ASDF;1599107;20
30/01/2025;XTRG;1599107;10
23/01/2025;XTRG;1599107;20
20/01/2025;XTRG;1599107;40
16/01/2025;XTRG;1599107;20
09/01/2025;XTRG;1599107;20
08/01/2025;XTRG;1599107;10
06/01/2025;XTRG;1599107;130
31/01/2025;WSXD;1599107;20
30/01/2025;WSXD;1599107;20
23/01/2025;WSXD;1599107;40
18/01/2025;WSXD;1599107;10
15/01/2025;WSXD;1599107;20
14/01/2025;WSXD;1599107;10
13/01/2025;WSXD;1599107;100
09/01/2025;WSXD;1599107;120
08/01/2025;WSXD;1599107;100
03/01/2025;WSXD;1599107;200
02/01/2025;WSXD;1599107;20
30/01/2025;ZAQC;1599107;40
29/01/2025;ZAQC;1599107;40
28/01/2025;ZAQC;1599107;10
24/01/2025;ZAQC;1599107;40
22/01/2025;ZAQC;1599107;30
21/01/2025;ZAQC;1599107;60
16/01/2025;ZAQC;1599107;40
15/01/2025;ZAQC;1599107;20
14/01/2025;ZAQC;1599107;30
10/01/2025;ZAQC;1599107;40
09/01/2025;ZAQC;1599107;50
08/01/2025;ZAQC;1599107;10
03/01/2025;ZAQC;1599107;80
02/01/2025;ZAQC;1599107;50
31/01/2025;ERTY;1599107;40
30/01/2025;ERTY;1599107;20
29/01/2025;ERTY;1599107;20
27/01/2025;ERTY;1599107;110
24/01/2025;ERTY;1599107;10
23/01/2025;ERTY;1599107;50
22/01/2025;ERTY;1599107;120
21/01/2025;ERTY;1599107;100
17/01/2025;ERTY;1599107;60
16/01/2025;ERTY;1599107;50
16/01/2025;ERTY;1599107;50
15/01/2025;ERTY;1599107;80
13/01/2025;ERTY;1599107;10
10/01/2025;ERTY;1599107;20
09/01/2025;ERTY;1599107;120
08/01/2025;ERTY;1599107;200
07/01/2025;ERTY;1599107;40
06/01/2025;ERTY;1599107;40
03/01/2025;ERTY;1599107;40
03/01/2025;ERTY;1599107;200
02/01/2025;ERTY;1599107;10
31/01/2025;GHTS;1599107;330
30/01/2025;GHTS;1599107;360
29/01/2025;GHTS;1599107;430
28/01/2025;GHTS;1599107;460
27/01/2025;GHTS;1599107;140
24/01/2025;GHTS;1599107;490
23/01/2025;GHTS;1599107;260
22/01/2025;GHTS;1599107;190
21/01/2025;GHTS;1599107;260
20/01/2025;GHTS;1599107;70
17/01/2025;GHTS;1599107;280
16/01/2025;GHTS;1599107;920
15/01/2025;GHTS;1599107;220
14/01/2025;GHTS;1599107;390
13/01/2025;GHTS;1599107;250
10/01/2025;GHTS;1599107;470
09/01/2025;GHTS;1599107;140
08/01/2025;GHTS;1599107;300
07/01/2025;GHTS;1599107;470
06/01/2025;GHTS;1599107;320
03/01/2025;GHTS;1599107;240
02/01/2025;GHTS;1599107;480
31/01/2025;SWAQ;1599107;20
30/01/2025;SWAQ;1599107;40
27/01/2025;SWAQ;1599107;20
24/01/2025;SWAQ;1599107;10
23/01/2025;SWAQ;1599107;30
22/01/2025;SWAQ;1599107;10
21/01/2025;SWAQ;1599107;30
17/01/2025;SWAQ;1599107;30
15/01/2025;SWAQ;1599107;20
14/01/2025;SWAQ;1599107;140
10/01/2025;SWAQ;1599107;50
09/01/2025;SWAQ;1599107;10
08/01/2025;SWAQ;1599107;30
07/01/2025;SWAQ;1599107;30
06/01/2025;SWAQ;1599107;50
31/01/2025;ZXCV;1599107;20
31/01/2025;ZXCV;1599107;20
30/01/2025;ZXCV;1599107;90
29/01/2025;ZXCV;1599107;130
28/01/2025;ZXCV;1599107;10
27/01/2025;ZXCV;1599107;30
24/01/2025;ZXCV;1599107;30
24/01/2025;ZXCV;1599107;20
23/01/2025;ZXCV;1599107;50
22/01/2025;ZXCV;1599107;50
21/01/2025;ZXCV;1599107;20
20/01/2025;ZXCV;1599107;20
18/01/2025;ZXCV;1599107;90
16/01/2025;ZXCV;1599107;280
15/01/2025;ZXCV;1599107;170
15/01/2025;ZXCV;1599107;100
14/01/2025;ZXCV;1599107;150
13/01/2025;ZXCV;1599107;10
10/01/2025;ZXCV;1599107;70
09/01/2025;ZXCV;1599107;120
08/01/2025;ZXCV;1599107;30
07/01/2025;ZXCV;1599107;70
03/01/2025;ZXCV;1599107;50
02/01/2025;ZXCV;1599107;30
31/01/2025;OLPU;1599107;40
30/01/2025;OLPU;1599107;100
29/01/2025;OLPU;1599107;50
28/01/2025;OLPU;1599107;30
27/01/2025;OLPU;1599107;130
24/01/2025;OLPU;1599107;30
23/01/2025;OLPU;1599107;40
21/01/2025;OLPU;1599107;160
16/01/2025;OLPU;1599107;330
14/01/2025;OLPU;1599107;200
10/01/2025;OLPU;1599107;270
08/01/2025;OLPU;1599107;60
07/01/2025;OLPU;1599107;50
02/01/2025;OLPU;1599107;20
31/01/2025;QAZX;1599107;60
30/01/2025;QAZX;1599107;50
30/01/2025;QAZX;1599107;200
29/01/2025;QAZX;1599107;50
28/01/2025;QAZX;1599107;60
28/01/2025;QAZX;1599107;20
24/01/2025;QAZX;1599107;50
24/01/2025;QAZX;1599107;100
23/01/2025;QAZX;1599107;60
22/01/2025;QAZX;1599107;60
21/01/2025;QAZX;1599107;170
21/01/2025;QAZX;1599107;50
20/01/2025;QAZX;1599107;30
17/01/2025;QAZX;1599107;30
17/01/2025;QAZX;1599107;30
16/01/2025;QAZX;1599107;140
15/01/2025;QAZX;1599107;70
15/01/2025;QAZX;1599107;130
14/01/2025;QAZX;1599107;20
13/01/2025;QAZX;1599107;10
13/01/2025;QAZX;1599107;150
10/01/2025;QAZX;1599107;60
09/01/2025;QAZX;1599107;60
08/01/2025;QAZX;1599107;40
07/01/2025;QAZX;1599107;40
07/01/2025;QAZX;1599107;460
03/01/2025;QAZX;1599107;130
03/01/2025;QAZX;1599107;100
02/01/2025;QAZX;1599107;50
31/01/2025;FTGV;1599107;30
30/01/2025;FTGV;1599107;20
29/01/2025;FTGV;1599107;160
28/01/2025;FTGV;1599107;50
27/01/2025;FTGV;1599107;50
24/01/2025;FTGV;1599107;60
23/01/2025;FTGV;1599107;40
22/01/2025;FTGV;1599107;70
21/01/2025;FTGV;1599107;110
20/01/2025;FTGV;1599107;110
18/01/2025;FTGV;1599107;230
16/01/2025;FTGV;1599107;150
15/01/2025;FTGV;1599107;110
14/01/2025;FTGV;1599107;60
13/01/2025;FTGV;1599107;10
10/01/2025;FTGV;1599107;80
09/01/2025;FTGV;1599107;80
08/01/2025;FTGV;1599107;140
07/01/2025;FTGV;1599107;170
06/01/2025;FTGV;1599107;130
03/01/2025;FTGV;1599107;120
02/01/2025;FTGV;1599107;130
31/01/2025;BVCX;1599107;130
27/01/2025;BVCX;1599107;200
24/01/2025;BVCX;1599107;20
21/01/2025;BVCX;1599107;120
17/01/2025;BVCX;1599107;90
14/01/2025;BVCX;1599107;10
07/01/2025;BVCX;1599107;20
03/01/2025;BVCX;1599107;100
02/01/2025;BVCX;1599107;30
31/01/2025;MNBH;1599107;30
29/01/2025;MNBH;1599107;20
28/01/2025;MNBH;1599107;20
22/01/2025;MNBH;1599107;10
21/01/2025;MNBH;1599107;10
16/01/2025;MNBH;1599107;20
15/01/2025;MNBH;1599107;10
14/01/2025;MNBH;1599107;100
10/01/2025;MNBH;1599107;40
09/01/2025;MNBH;1599107;140
07/01/2025;MNBH;1599107;50
03/01/2025;MNBH;1599107;60
02/01/2025;MNBH;1599107;10
30/01/2025;FGHT;1599107;20
28/01/2025;FGHT;1599107;30
27/01/2025;FGHT;1599107;80
24/01/2025;FGHT;1599107;30
23/01/2025;FGHT;1599107;20
22/01/2025;FGHT;1599107;80
21/01/2025;FGHT;1599107;130
16/01/2025;FGHT;1599107;20
15/01/2025;FGHT;1599107;20
14/01/2025;FGHT;1599107;10
10/01/2025;FGHT;1599107;130
09/01/2025;FGHT;1599107;40
07/01/2025;FGHT;1599107;20
03/01/2025;FGHT;1599107;1020
31/01/2025;UIOK;1599107;70
30/01/2025;UIOK;1599107;70
29/01/2025;UIOK;1599107;10
27/01/2025;UIOK;1599107;40
25/01/2025;UIOK;1599107;20
24/01/2025;UIOK;1599107;100
23/01/2025;UIOK;1599107;80
22/01/2025;UIOK;1599107;20
21/01/2025;UIOK;1599107;10
20/01/2025;UIOK;1599107;20
18/01/2025;UIOK;1599107;20
17/01/2025;UIOK;1599107;60
16/01/2025;UIOK;1599107;50
13/01/2025;UIOK;1599107;50
10/01/2025;UIOK;1599107;30
09/01/2025;UIOK;1599107;10
